reservation_id,seat_id
32b7b7a0-83cb-4a22-81f5-93adc1d77a91,e53e2053-b274-4627-b00b-e7634de70364
28d8b097-3bc8-4bf8-b0ab-1e1adb628737,2304f564-6e37-4ef8-bb18-e5d745dfe97f
bf3cb6c5-1de6-4fee-8820-7529dc2bd992,58492dc0-0bad-4d60-b79f-987c2e1a4923
bf3cb6c5-1de6-4fee-8820-7529dc2bd992,99a95c29-ac9c-4883-aca7-2f192f2b9ea3
64681428-ca56-40e4-bc89-8b6691dfab38,2777e874-888f-4d55-b86a-37547c2b8702
9cc0e783-0364-4e42-a9c0-ef92abe8cd7f,5579b6f9-f09b-4ea0-a9af-45adb5b5dab0
9cc0e783-0364-4e42-a9c0-ef92abe8cd7f,5ac35447-bf6a-44d7-a574-b795b00a2bba
9cc0e783-0364-4e42-a9c0-ef92abe8cd7f,18410727-928b-4de7-9e60-ea7f650ed6ce
9cc0e783-0364-4e42-a9c0-ef92abe8cd7f,58492dc0-0bad-4d60-b79f-987c2e1a4923
6852e6b5-07d5-4d54-b56a-de7b2b861f66,b5d6f92b-2b03-4c14-b748-b8b5fbdb538f
6852e6b5-07d5-4d54-b56a-de7b2b861f66,58ca223a-3aba-402b-ac39-2d9d8c241984
6852e6b5-07d5-4d54-b56a-de7b2b861f66,ccd68a52-86c2-4a25-992e-7227d9e5de31
353c67cc-a627-4ad9-8d57-a16ef09c6608,4d2b2cae-3f7e-42be-92d9-6fd6931c3d00
353c67cc-a627-4ad9-8d57-a16ef09c6608,9518dba5-0d15-48d6-9495-cbf47163ad47
353c67cc-a627-4ad9-8d57-a16ef09c6608,bfb0385f-623b-4582-abf1-f49d0a1d4f53
d48c2403-e107-486e-b4c1-d27d1414453c,18410727-928b-4de7-9e60-ea7f650ed6ce
d48c2403-e107-486e-b4c1-d27d1414453c,f68307fd-3c15-4631-8b6c-f35d09c1232b
d48c2403-e107-486e-b4c1-d27d1414453c,3e32f367-47a9-4901-928f-3454e5990047
d48c2403-e107-486e-b4c1-d27d1414453c,99af25cf-2fe9-4381-82bb-8f2ae9a8fc8c
8102dd72-bca6-40ab-b756-9969d8f966a8,c8992523-e2ac-4557-a8ed-690a73aa15a7
8102dd72-bca6-40ab-b756-9969d8f966a8,389d1bd7-98d1-4252-a230-66b58d44709b
8102dd72-bca6-40ab-b756-9969d8f966a8,9518dba5-0d15-48d6-9495-cbf47163ad47
c9961b09-231e-4a39-a0cc-59758caf660d,45ecc46f-14b0-4c7d-b8fa-d4e212ebdb7e
2f07d239-ddd6-41e6-bd0e-e524a1e7634e,f8efadaf-d366-4865-aadb-c230ec239e8f
09c0047c-ee42-4233-8ea0-2b1a11f8b164,e53e2053-b274-4627-b00b-e7634de70364
09c0047c-ee42-4233-8ea0-2b1a11f8b164,18410727-928b-4de7-9e60-ea7f650ed6ce
09c0047c-ee42-4233-8ea0-2b1a11f8b164,90fffdfd-4e8d-4942-9c99-4676ef803d15
97f8a5bb-acb9-4349-bf1b-619d329321d3,c1ee97c4-1365-4b95-aef2-6c64d01e9559
97f8a5bb-acb9-4349-bf1b-619d329321d3,937095f9-a8e2-4332-9e9d-9aca0462f355
97f8a5bb-acb9-4349-bf1b-619d329321d3,2dab676e-26ed-430f-b333-5bf67df734cf
97f8a5bb-acb9-4349-bf1b-619d329321d3,506491ea-9035-4e35-a671-9c7a30d868f1
f2ae1bde-d018-4c57-b11d-d6cbd23e95c6,4c8c72f9-cddd-4eb8-8e2a-b575f544973e
f2ae1bde-d018-4c57-b11d-d6cbd23e95c6,456397fa-a753-4991-8357-579803a671fb
f2ae1bde-d018-4c57-b11d-d6cbd23e95c6,e53e2053-b274-4627-b00b-e7634de70364
f2ae1bde-d018-4c57-b11d-d6cbd23e95c6,2dab676e-26ed-430f-b333-5bf67df734cf
6ba93057-b550-4f56-bda8-7b165a00c37c,937095f9-a8e2-4332-9e9d-9aca0462f355
6ba93057-b550-4f56-bda8-7b165a00c37c,b864425c-f3af-4a18-be4e-26661a50dfc0
6ba93057-b550-4f56-bda8-7b165a00c37c,1227e3cd-2bf7-42e2-8322-c4db72c70087
769fe4b1-342b-43fe-8d1d-3c915692eba0,44dc111b-4807-470f-89d9-ec6e7a6c7395
769fe4b1-342b-43fe-8d1d-3c915692eba0,65a8e964-226c-4161-aaa0-03900b25553f
caa82ca1-cd90-4447-bb4a-11e82dd46859,18410727-928b-4de7-9e60-ea7f650ed6ce
caa82ca1-cd90-4447-bb4a-11e82dd46859,58ca223a-3aba-402b-ac39-2d9d8c241984
